程序,,串行,"StoryBlock(19,true);",,,,,,,,,,
程序,,串行,SetUIMode(2);,,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,"SetChapter(01,边界徘徊的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
UI,,串行,创建图片,BMI边框.png; BMI;,1.2;1.2;0;,0;0;0;0;0;,1;1;0;,,,,,,
背景,,串行,创建图片,0106C_鸦巢公寓303室_正门白天搜证.png; bg1;,1;1;0;,0;0;0;0;0;,,,,,,,
立绘,,串行,创建图片,C06_B01_熊取_紧张.png; xiongqu;,2;2;0;,-700;-1050; -700;-1050;0;,1;1;0;,,245;239;235;,,,,
立绘,,串行,创建图片,B04_B01_雪绘_平常.png; jitian;,2;2;0;,700;-900; 700;-900;0;,1;1;0;,,245;239;235;,,,,
文本,,串行,旁白,1;1;0;,,草加裕介的眼前，站着唯二持有303钥匙的熊取和吉田，而我正透过他的BMI看着这两人。,34,,30,,,,
BGM,,串行,B04-会议记录.mp3,循环,70;70;0;,,,,,,,,
文本,点击触发,并行,头像,1;1;0;,草加 裕介,熊取先生，有目击者称，前天晚上21时在并非健身房的地方看到了你。,34,蓝_B05_A01_草加_平静.png,30,,,,
文本,点击触发,并行,头像,1;1;0;,草加 裕介,可以说明一下，这是怎么回事吗？,34,蓝_B05_A01_草加_平静.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,见到这一幕我就明白草加裕介又在钓鱼套话了，他根本没查到熊取昌二9月7日晚去过哪儿，他在寄希望于对方自己露出破绽。,34,,30,,,,
立绘,点击触发,并行,选中图片,jitian,2;2;0;,700;-900; 1400;-900;0.7;,1;0;0.7;,,245;239;235;,,,,
立绘,,并行,选中图片,xiongqu,2;2;0;,-700;-1050; 0;-1050;0.7;,1;1;0;,,245;239;235;,,,,
文本,,串行,台词,1;1;0;,熊取 昌二,没关系，有人能替我做不在场证明。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,熊取昌二面不改色地走上前一步，下一秒，草加裕介的BMI上弹出了一行电话号码。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
立绘,,并行,选中图片,xiongqu,2;2;0;,0;-1050; 0; -1050; 0;,1;0;0.5;,,245;239;235;,,,,
UI,,并行,创建图片,sv0135_陌生号码.png; mail;,0.7;0.7;0;,0;110;0;110;0;,1;1;0;,横向展开; 0.7;,,,,,
SE,,并行,通话启动.ogg,50,,,,,,,,,
文本,,串行,头像,1;1;0;,熊取 昌二,只要给这个电话号码打过去，就能证明我9月7日晚不可能在家。,34,蓝_C06_B01_熊取_紧张.png,30,,,,
SE,点击触发,串行,退出界面.ogg,60,,,,,,,,,
UI,,串行,选中图片,mail,0.7;0.7;0;,0;110;0;110;0;,1;1;0;,横向收起; 0.5;,,,,,
UI,,串行,删除图片,mail,0.7;0.7;0;,0;110;0;110;0;,0;0;0;,,,,,,
立绘,,并行,选中图片,xiongqu,2;2;0;,0;-1050; 0; -1050; 0;,0;1;0.5;,,245;239;235;,,,,
文本,,并行,旁白,1;1;0;,,草加裕介狐疑地看了熊取昌二一眼，不知道他葫芦里卖的是什么药。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
立绘,,串行,选中图片,xiongqu,2;2;0;,0;-1050; 0; -1050; 0;,1;0;0.5;,,245;239;235;,,,,
SE,,串行,正在拨号中.ogg,60,,,,,,,,,
文本,,串行,旁白,1;1;0;,,虽然有些疑惑，但草加还是谨慎地掏出了通讯设备——一部老旧的智能手机。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,出于信息安全的考虑，对这种来路不明的电话，他不敢用BMI联系。,34,,30,,,,
SE,点击触发,串行,空调按钮.ogg,80,,,,,,,,,
文本,,串行,台词,1;1;0;,？？？,喂？,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,电话那头传来了一个低沉的女声。,34,,30,,,,
文本,点击触发,并行,头像,1;1;0;,草加 裕介,您好，这里是练马警察署，有个案子想请您协助调查，请问您现在有时间——,34,蓝_B05_A02_草加_微笑.png,30,,,,
SE,点击触发,串行,电话挂断.ogg,80,,,,,,,,,
文本,,串行,旁白,1;1;0;,,话音未落，对面就将电话挂断了。,34,,30,,,,
文本,点击触发,并行,头像,1;1;0;,草加 裕介,？？？,34,蓝_B05_A05_草加_迟疑.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,草加裕介莫名其妙地看着挂断提示，他想要再次打过去，可却怎么都打不通。,34,,30,,,,
UI,点击触发,并行,创建图片,sv0136A_收信提示.png; mail;,0.7;0.7;0;,0;110;0;110;0;,1;1;0;,横向展开; 0.7;,,,,,
SE,,并行,通话启动.ogg,50,,,,,,,,,
