程序,,串行,"StoryBlock(40,true);",,,,,,,,,,
程序,,串行,"StoryBlock(41,true);",,,,,,,,,,
程序,,串行,"StoryArrow(41,true);",,,,,,,,,,
程序,,串行,SetUIMode(0);,,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,"SetChapter(01,谱线蓝移的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
背景,,并行,创建图片,0124A_光之丘公园.png; bg1;,1;1;0;,0;0;0;0;0;,淡入,,,,,,
SE,,串行,回路启动.ogg,40,,,,,,,,,
UI,,串行,创建图片,BMI边框.png; BMI;,1.5;1.2;0.5;,0;0;0;0;0;,1;1;0;,,,,,,
BGM,,串行,C02-稍话闲暇.mp3,循环,70;70;0;,,,,,,,,
文本,,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,旁白,1;1;0;,,今天的另一件委托，来自一位家中有亲戚负责市政管理的同学，内容是到光之丘公园帮忙抓流浪猫。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,真是的，这种委托是怎么投到校园网来的……我们是情报屋，又不是游击士协会……,34,粉_A01_A12_绚音_无奈.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,但是为了给打下良好的口碑基础，这种工作也得认真对待才行。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,时乃，你找到要抓的那只猫了吗？,34,粉_A01_A01_绚音_平常.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
SE,,串行,通话启动.ogg,40,,,,,,,,,
UI,,串行,创建图片,sv0125_通话-池田时乃.png; phone;,1;1;0;,-200;0;0;0;1;,0;1;0.5;,,,,,,
立绘,,并行,创建图片,A04a_B01_时乃_微笑.png; tokino;,2;2;0;,0;-650;0;-650;0;,0;1;0.5;,,255;255;255;,,,,
文本,,串行,台词,1;1;0;,池田 时乃,巧露露～！没问题，我已经用VIEW操控机器人潜伏在它身旁的灌木丛里了，它的一举一动我都看得一清二楚！,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,话说，要不我们直接去宠物店买一只交差凑数吧？,34,粉_A01_A11_绚音_思考时走神.png,30,,,,
立绘,点击触发,并行,切换图片,tokino; A04a_B04_时乃_装傻.png; 0.2;,2;2;0;,0;-650;0;-650;0;,1;1;0;,,255;255;255;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,那样的话会连本都回不了吧……,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,不行吗……看来只能动手抓了。,34,粉_A01_A09_绚音_认真且平常.png,30,,,,
SE,点击触发,串行,打响指.ogg,70,,,,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,那就就<link=034><color=#f0519c></b>跟着节奏来</color></link>，行动开始。,34,粉_A01_A09_绚音_认真且平常.png,30,,,,
文本,点击触发,并行,旁白,1;0;0.5;,,,34,,30,,,,
立绘,,并行,选中图片,tokino,2;2;0;,0;-650;0;-650;0;,1;0;0.5;,,255;255;255;,,,,
SE,,串行,脚步声-草地01.ogg,70,,,,,,,,,
背景,,并行,选中图片,bg1,1;1.2;1;,0;0;-170;100;1;,,,,,,,
文本,,并行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,旁白,1;1;0;,,我提着装好猫粮的笼子，蹑手蹑脚地接近小猫所在的位置——,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
SE,,串行,猫的逃脱01.ogg,70,,,,,,,,,
立绘,,并行,切换图片,tokino; A04a_B11_时乃_害怕.png; 0;,2;2;0;,0;-650;0;-650;0;,0;0;0;,,255;255;255;,,,,
立绘,,并行,选中图片,tokino,2;2;0;,0;-650;0;-650;0;,0;1;0.5;,,255;255;255;,,,,
立绘,,串行,选中图片,tokino,2;2;0;,0;-650;0;-650;0;,1;1;0;,轻微抖动,255;255;255;,,,,
文本,,串行,台词,1;1;0;,池田 时乃,啊，糟了——！小猫逃走了！,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,你好麻烦呀你，别想跑——！,34,粉_A01_A13_绚音_不耐烦.png,30,,,,
立绘,点击触发,并行,切换图片,tokino; A04a_B01_时乃_微笑.png; 0.2;,2;2;0;,0;-650;0;-650;0;,1;1;0;,,255;255;255;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,它往西面去了，爬到了那边的树上。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
